Metric,Conversation_ID,CoT,ND,ZS
F1_Suggestion,1,0.4,0.5333333333333333,0.6666666666666666
F1_Suggestion,3,1.0,0.8666666666666666,1.0
F1_Suggestion,4,0.5,0.5,0.5
F1_Suggestion,5,0.6666666666666666,0.6666666666666666,0.6666666666666666
F1_Suggestion,6,0.25,0.45,0.25
F1_Suggestion,7,0.7600000000000001,0.8000000000000002,0.8000000000000002
F1_Suggestion,8,0.65,0.65,0.65
F1_Suggestion,9,0.75,1.0,0.95
F1_Suggestion,10,1.0,1.0,1.0
F1_Suggestion,11,0.6,0.4800000000000001,0.4800000000000001
F1_Suggestion,12,0.6666666666666666,0.6666666666666666,0.6666666666666666
F1_Suggestion,13,0.6666666666666666,0.6666666666666666,0.6666666666666666
F1_Suggestion,14,1.0,0.6666666666666666,1.0
F1_Suggestion,15,0.6666666666666666,0.6666666666666666,0.6666666666666666
F1_Suggestion,16,0.75,0.75,0.5
F1_Suggestion,17,0.6666666666666666,0.3333333333333333,0.3333333333333333
F1_Suggestion,18,0.8,0.75,0.75
F1_Suggestion,19,0.7,0.75,0.75
F1_Suggestion,20,1.0,1.0,1.0
F1_Suggestion,21,0.68,0.64,0.64
F1_Suggestion,22,0.6666666666666666,0.6666666666666666,0.6666666666666666
F1_Suggestion,23,0.4,0.3333333333333333,0.6
F1_Suggestion,24,1.0,0.9333333333333332,1.0
F1_Suggestion,25,0.75,0.55,0.75
F1_Suggestion,26,0.6,0.8000000000000002,0.9200000000000002
F1_Suggestion,28,0.6666666666666666,0.3333333333333333,0.5333333333333333
F1_Suggestion,29,0.6666666666666666,0.6666666666666666,0.6
F1_Suggestion,31,0.75,0.75,0.75
F1_Suggestion,32,0.6666666666666666,0.7333333333333333,0.9333333333333332
F1_Suggestion,33,0.5,0.5,0.5
F1_Suggestion,34,0.8000000000000002,0.8000000000000002,0.8000000000000002
F1_Suggestion,35,0.35,0.75,0.75
F1_Suggestion,36,0.4000000000000001,0.4000000000000001,0.4000000000000001
F1_Suggestion,37,0.75,0.75,0.75
F1_Suggestion,39,0.5,0.5,0.5
F1_Suggestion,41,0.6666666666666666,0.6666666666666666,0.6666666666666666
F1_Suggestion,42,0.6666666666666666,0.4666666666666666,0.6
F1_Suggestion,44,1.0,1.0,1.0
F1_Suggestion,46,0.5333333333333333,0.6666666666666666,0.6666666666666666
F1_Suggestion,48,0.5,0.55,0.75
F1_Suggestion,49,0.8666666666666666,0.39999999999999997,0.9333333333333332
F1_Suggestion,55,0.75,0.75,0.75
F1_Suggestion,57,0.25,0.25,0.25
F1_Suggestion,67,0.45,0.25,0.4
F1_Suggestion,77,1.0,1.0,1.0
F1_Suggestion,93,0.6,0.4800000000000001,0.6
F1_Suggestion,94,1.0,1.0,1.0
F1_Suggestion,Average,0.6792198581560286,0.6549645390070923,0.7022695035460995
F1_Suggestion,Std,0.19887890605764194,0.20558498940295591,0.20577605673126068
F1_Response,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
F1_Response,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
F1_Response,4,0.0,0.0,0.0
F1_Response,5,0.6666666666666666,1.0,0.6666666666666666
F1_Response,6,0.1,0.0,0.2
F1_Response,7,0.4000000000000001,0.20000000000000004,0.24000000000000005
F1_Response,8,1.0,1.0,1.0
F1_Response,9,0.25,0.0,0.25
F1_Response,10,0.13333333333333333,0.0,0.0
F1_Response,11,0.20000000000000004,0.20000000000000004,0.2800000000000001
F1_Response,12,1.0,1.0,1.0
F1_Response,13,0.3333333333333333,0.0,0.3333333333333333
F1_Response,14,0.0,0.0,0.0
F1_Response,15,0.0,0.0,0.0
F1_Response,16,0.25,0.05,0.0
F1_Response,17,0.6666666666666666,1.0,1.0
F1_Response,18,0.0,0.0,0.0
F1_Response,19,0.75,0.75,0.8
F1_Response,20,0.25,0.0,0.1
F1_Response,21,0.0,0.0,0.0
F1_Response,22,0.13333333333333333,0.0,0.3333333333333333
F1_Response,23,0.6666666666666666,0.6666666666666666,0.6666666666666666
F1_Response,24,0.0,0.06666666666666667,0.0
F1_Response,25,0.0,0.0,0.0
F1_Response,26,0.20000000000000004,0.20000000000000004,0.2800000000000001
F1_Response,28,0.3333333333333333,0.3333333333333333,0.3333333333333333
F1_Response,29,0.0,0.0,0.0
F1_Response,31,0.5,0.5,0.5
F1_Response,32,0.0,0.0,0.0
F1_Response,33,0.75,0.75,0.75
F1_Response,34,0.20000000000000004,0.20000000000000004,0.20000000000000004
F1_Response,35,0.5,0.5,0.5
F1_Response,36,0.8000000000000002,0.8000000000000002,0.8000000000000002
F1_Response,37,0.0,0.0,0.0
F1_Response,39,0.0,0.0,0.05
F1_Response,41,0.6666666666666666,0.6,0.5333333333333333
F1_Response,42,0.0,0.0,0.0
F1_Response,44,0.0,0.0,0.0
F1_Response,46,0.13333333333333333,0.0,0.06666666666666667
F1_Response,48,0.25,0.25,0.25
F1_Response,49,0.0,0.0,0.0
F1_Response,55,0.55,0.5,0.5
F1_Response,57,0.0,0.0,0.0
F1_Response,67,0.5,0.5,0.45
F1_Response,77,0.0,0.0,0.0
F1_Response,93,0.2800000000000001,0.04000000000000001,0.08000000000000002
F1_Response,94,0.0,0.0,0.0
F1_Response,Average,0.28645390070921983,0.2575886524822695,0.28007092198581557
F1_Response,Std,0.298512786675314,0.3373430479130299,0.313297485018645
