conversation_id,CoT,MoRE,PD,SR
1,1.0,1.0,0.9333333333333332,0.6666666666666666
3,0.68,0.7600000000000001,0.7733333333333334,0.7600000000000001
4,0.8363636363636363,0.9168831168831169,1.0,0.8727272727272727
5,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0
8,0.8218181818181819,0.8000000000000002,1.0,0.8218181818181819
9,0.8912280701754387,0.9134502923976608,0.8690058479532163,0.9473684210526316
10,0.909090909090909,0.8787878787878787,0.8606060606060606,0.8636363636363636
11,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0
13,1.0,0.977777777777778,1.0,0.977777777777778
14,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0
16,0.92,0.7054545454545453,1.0,0.8400000000000002
17,0.888888888888889,0.9176470588235294,0.8222222222222222,0.8666666666666666
18,0.8,0.8400000000000001,0.96,0.8
19,0.75,1.0,0.95,0.8
20,0.8,0.8363636363636363,0.9523809523809524,0.8623376623376624
21,0.993103448275862,0.9023973727422004,0.9664367816091952,1.0
22,0.85,1.0,0.7285714285714286,0.8
23,1.0,1.0,1.0,1.0
24,0.9473684210526316,0.9473684210526316,1.0,1.0
25,0.6666666666666666,0.6666666666666666,0.7666666666666667,0.6666666666666666
26,0.5999999999999999,0.6666666666666666,0.7666666666666668,0.8303030303030303
28,0.55,0.6833333333333332,0.7,0.6
29,1.0,1.0,1.0,1.0
31,0.975,0.925,0.875,0.95
32,1.0,1.0,1.0,1.0
33,0.8833333333333332,0.8446153846153847,0.9166666666666666,0.8666666666666666
34,0.6042857142857143,0.72,1.0,0.7
35,0.8055555555555556,0.861111111111111,1.0,0.8333333333333334
36,1.0,1.0,1.0,1.0
37,0.25,0.25,0.25,0.25
39,1.0,1.0,1.0,1.0
41,1.0,1.0,1.0,0.9384615384615383
42,1.0,1.0,1.0,1.0
44,0.7963636363636363,0.7454545454545454,1.0,0.8
46,0.95,1.0,1.0,1.0
48,1.0,1.0,1.0,1.0
49,0.5,1.0,0.6,0.8
55,0.9538461538461538,0.9538461538461538,1.0,0.923076923076923
57,0.823529411764706,0.8758169934640524,0.8091503267973856,0.8758169934640522
67,1.0,0.9333333333333332,0.8666666666666666,0.6666666666666666
77,0.7909090909090909,0.8333333333333334,1.0,0.8333333333333334
93,1.0,0.9894736842105264,0.9684210526315792,1.0
94,1.0,1.0,1.0,1.0
Average,0.8773904493274556,0.9009527937514483,0.9220240001299017,0.8811345566947963
Std,0.16481668945957273,0.14227997776898915,0.13979998722235293,0.145956955586825
