conversation_id,CoT,MoRE,PD,SR
1,1.0,1.0,0.9333333333333332,1.0
3,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,0.977777777777778
9,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0
13,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.8400000000000002
14,0.9384615384615383,1.0,0.9692307692307692,0.9846153846153848
15,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0
21,1.0,0.9866666666666668,1.0,1.0
22,0.9142857142857144,0.9714285714285716,0.9142857142857144,0.9714285714285716
23,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0
25,1.0,1.0,0.9666666666666668,1.0
26,0.8333333333333334,0.9333333333333332,0.9,0.8666666666666666
28,1.0,1.0,1.0,1.0
29,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
31,1.0,1.0,1.0,1.0
32,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0
34,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,1.0
36,1.0,1.0,1.0,1.0
37,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0
41,1.0,1.0,1.0,1.0
42,0.8666666666666666,0.8,0.7999999999999999,0.9333333333333332
44,1.0,1.0,1.0,1.0
46,1.0,1.0,1.0,1.0
48,1.0,1.0,1.0,1.0
49,1.0,1.0,1.0,1.0
55,1.0,1.0,0.9714285714285716,1.0
57,0.7777777777777778,0.7472222222222222,0.7633986928104575,0.7777777777777778
67,1.0,1.0,1.0,1.0
77,1.0,1.0,1.0,1.0
93,0.9333333333333332,0.945029239766082,0.9005847953216375,0.9555555555555556
94,0.9111111111111112,0.9333333333333332,0.9111111111111112,0.9333333333333332
Average,0.9710986413114072,0.9741208517748271,0.9680150281032963,0.9767479801522353
Std,0.06999550466602644,0.07092626813195406,0.07167578710844544,0.0637267755746617
