Metric,Conversation_ID,CoT,ND,ZS
Binary_Final Restaurant,1,1.0,1.0,0.8
Binary_Final Restaurant,3,1.0,1.0,1.0
Binary_Final Restaurant,4,0.4,0.0,0.4
Binary_Final Restaurant,5,1.0,1.0,1.0
Binary_Final Restaurant,6,1.0,1.0,1.0
Binary_Final Restaurant,7,1.0,1.0,1.0
Binary_Final Restaurant,8,1.0,1.0,1.0
Binary_Final Restaurant,9,1.0,1.0,1.0
Binary_Final Restaurant,10,1.0,1.0,1.0
Binary_Final Restaurant,11,1.0,1.0,1.0
Binary_Final Restaurant,12,1.0,1.0,1.0
Binary_Final Restaurant,13,1.0,1.0,1.0
Binary_Final Restaurant,14,1.0,1.0,1.0
Binary_Final Restaurant,15,1.0,1.0,1.0
Binary_Final Restaurant,16,1.0,0.8,1.0
Binary_Final Restaurant,17,1.0,1.0,1.0
Binary_Final Restaurant,18,1.0,1.0,1.0
Binary_Final Restaurant,19,1.0,1.0,1.0
Binary_Final Restaurant,20,1.0,1.0,0.8
Binary_Final Restaurant,21,1.0,1.0,1.0
Binary_Final Restaurant,22,1.0,0.8,1.0
Binary_Final Restaurant,23,1.0,1.0,1.0
Binary_Final Restaurant,24,1.0,1.0,1.0
Binary_Final Restaurant,25,1.0,1.0,1.0
Binary_Final Restaurant,26,1.0,1.0,1.0
Binary_Final Restaurant,28,1.0,1.0,1.0
Binary_Final Restaurant,29,1.0,1.0,1.0
Binary_Final Restaurant,31,1.0,0.2,0.8
Binary_Final Restaurant,32,1.0,1.0,1.0
Binary_Final Restaurant,33,1.0,1.0,1.0
Binary_Final Restaurant,34,1.0,1.0,1.0
Binary_Final Restaurant,35,1.0,1.0,1.0
Binary_Final Restaurant,36,1.0,1.0,1.0
Binary_Final Restaurant,37,1.0,1.0,1.0
Binary_Final Restaurant,39,1.0,1.0,1.0
Binary_Final Restaurant,41,0.4,0.4,0.6
Binary_Final Restaurant,42,1.0,1.0,1.0
Binary_Final Restaurant,44,1.0,1.0,1.0
Binary_Final Restaurant,46,0.0,0.2,0.8
Binary_Final Restaurant,48,1.0,1.0,1.0
Binary_Final Restaurant,49,1.0,1.0,1.0
Binary_Final Restaurant,55,1.0,1.0,1.0
