conversation_id,CoT,MoRE,PD,SR
1,0.8150000000000001,0.8,0.8150000000000001,0.8
10,0.7751724137931035,0.7580295566502464,0.7396387520525451,0.7497536945812808
11,0.8619602094038183,0.862082350807183,0.88436925176938,0.8678674066564322
12,0.830967741935484,0.830967741935484,0.8459677419354839,0.8309677419354837
13,0.7691304347826087,0.7164031620553359,0.7899999999999998,0.7683612040133779
14,0.7783957219251336,0.8498372628403589,0.8097807017543859,0.8177352472089312
15,0.5461538461538462,0.5,0.5230769230769231,0.6153846153846153
16,0.8698412698412697,0.8627450980392158,0.8694677871148461,0.8698412698412697
17,0.8974189675870349,0.8841836734693878,0.8736654513794418,0.8793964394268345
18,0.7876923076923077,0.7682328482328483,0.7809143872815246,0.7753846153846154
19,0.9806451612903226,0.9728587319243605,0.9673118279569893,0.9673118279569893
20,0.8912989922499029,0.8709515162679718,0.871500904159132,0.8781365990875099
21,0.9062108427600364,0.9204918198097822,0.9207515836003737,0.9082369178489978
22,0.6196078431372549,0.5354916703523515,0.5576470588235295,0.5947368421052632
23,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348
24,0.8716424037178754,0.8367523264748569,0.8755120573100597,0.8545301042526348
25,0.7796614196614196,0.7152496626180836,0.7141083477925583,0.7015939015939016
26,0.9206359158083297,0.9494264680705358,0.9242576137312979,0.8669182389937108
28,0.8,0.7621052631578948,0.7747368421052631,0.7071207430340557
29,0.8732352941176471,0.9014705882352942,0.9014705882352942,0.8864705882352941
3,0.717391304347826,0.7491304347826087,0.7045454545454545,0.7065217391304348
31,0.7197951180472189,0.7292433281004709,0.7290611942890364,0.7141726844583987
32,0.8459677419354839,0.8382258064516129,0.860483870967742,0.8387096774193548
33,0.9260896406963823,0.9186168452225416,0.9137683603740567,0.9086943646023865
34,0.9128739316239315,0.9127719502719502,0.9092897022332505,0.912114763651649
35,0.8886699507389164,0.9102643148471847,0.8886699507389164,0.8644407954752783
36,0.9644424934152767,0.9515837104072398,0.9675153643546972,0.9577205882352942
37,0.9521829521829522,0.9113296060664482,0.9356968304336725,0.941094941094941
39,0.7967532118475514,0.7878084179970974,0.7817458641165633,0.7685123525301105
4,0.8830488815244408,0.9382039080692518,0.9235481794996646,0.8587843322340069
41,0.9275883575883576,0.9327103088078698,0.9440693196405648,0.910605045649975
42,0.9647058823529411,0.9529411764705882,0.9411764705882353,0.9647058823529411
44,0.9284347231715653,0.9321941216678059,0.9321941216678059,0.9284347231715653
46,0.9185770750988143,0.8528229665071769,0.8157666894508999,0.7568922305764411
48,0.9377602108036891,0.937352058980181,0.9654024051803886,0.942608695652174
49,0.8450000000000001,0.8450000000000001,0.8150000000000001,0.8300000000000001
5,0.9565217391304348,0.9565217391304348,0.9739130434782609,0.9913043478260869
55,0.754800584204022,0.7375318401405357,0.7925233836982217,0.7661308739569609
57,0.8509971384547657,0.8317760626106872,0.8649201055551676,0.8374986749933194
6,0.8936273029296284,0.8781636967683479,0.8987012987012987,0.8938689217758984
67,0.6666666666666666,0.6352941176470588,0.6176470588235293,0.6352941176470588
7,0.8590549911304628,0.84338494688899,0.857666143380429,0.8791919191919192
77,0.7313628899835797,0.7396387520525453,0.7218390804597701,0.7402298850574713
8,0.8298446651387827,0.8012859689330277,0.8436974789915965,0.7583116005022698
9,0.8787753830711009,0.8726871030102181,0.8879554806315368,0.8529890325450937
93,0.8160987230518323,0.8063175929502936,0.8037865748709121,0.7913165266106441
94,0.7026540710751237,0.7383040935672514,0.7355145952706927,0.764652124408222
Average,0.842571875642544,0.8339341776259797,0.8387616506628048,0.8300227782430111
Std,0.0945594866573857,0.10442702017693199,0.10311516440726388,0.0949494367331926
