conversation_id,technique,iteration,participants,P_answer,p_match_rate,restaurant_brands,R_answer,r_match_rate,final_restaurant,F_answer,match_rate
9,ND,1,A|B|C|D,A|B|C|D,1.0,Nihonbashi 1-1-1|おでんやden（おでんやでん）|北丸 新宿南口店 （きたまる）|博多串焼き・野菜巻き工房 渋谷宮益坂のごりょんさん|居酒屋 四谷 なごみ|牛たん酒場 たん之助 COMORE四谷店|純米酒専門YATA 新宿三丁目店（ヤタ）|赤から 新宿東口店|赤から 渋谷本店|赤から 赤坂TBS通り店|餃子専門店 藤井屋,Nihonbashi 1-1-1|おでんやden（おでんやでん）|北丸 新宿南口店 （きたまる）|博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん|居酒屋 四谷 なごみ|牛たん酒場 たん之助 COMORE四谷店|純米酒専門YATA 新宿三丁目店（ヤタ）|赤から 新宿東口店|赤から 渋谷本店|赤から 赤坂TBS通り店|餃子専門店 藤井屋,0.9090909090909091,おでんやden（おでんやでん）,おでんやden（おでんやでん）,0.9090909090909091
9,ND,2,A|B|C|D,A|B|C|D,1.0,おでんやden（おでんやでん）|北丸 新宿南口店 （きたまる）|博多串焼き・野菜巻き工房 渋谷宮益坂のごりょんさん|居酒屋 四谷 なごみ|牛たん酒場 たん之助 COMORE四谷店|純米酒専門YATA 新宿三丁目店（ヤタ）|赤から 新宿東口店|赤から 渋谷本店|赤から 赤坂TBS通り店|餃子専門店 藤井屋,Nihonbashi 1-1-1|おでんやden（おでんやでん）|北丸 新宿南口店 （きたまる）|博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん|居酒屋 四谷 なごみ|牛たん酒場 たん之助 COMORE四谷店|純米酒専門YATA 新宿三丁目店（ヤタ）|赤から 新宿東口店|赤から 渋谷本店|赤から 赤坂TBS通り店|餃子専門店 藤井屋,0.8181818181818182,おでんやden（おでんやでん）,おでんやden（おでんやでん）,0.8181818181818182
9,ND,3,A|B|C|D,A|B|C|D,1.0,おでんやden（おでんやでん）|北丸 新宿南口店 （きたまる）|博多串焼き・野菜巻き工房 渋谷宮益坂のごりょんさん|居酒屋 四谷 なごみ|牛たん酒場 たん之助 COMORE四谷店|純米酒専門YATA 新宿三丁目店（ヤタ）|赤から 新宿東口店|赤から 渋谷本店|赤から 赤坂TBS通り店|餃子専門店 藤井屋,Nihonbashi 1-1-1|おでんやden（おでんやでん）|北丸 新宿南口店 （きたまる）|博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん|居酒屋 四谷 なごみ|牛たん酒場 たん之助 COMORE四谷店|純米酒専門YATA 新宿三丁目店（ヤタ）|赤から 新宿東口店|赤から 渋谷本店|赤から 赤坂TBS通り店|餃子専門店 藤井屋,0.8181818181818182,おでんやden（おでんやでん）,おでんやden（おでんやでん）,0.8181818181818182
9,ND,4,A|B|C|D,A|B|C|D,1.0,Nihonbashi 1-1-1|おでんやden（おでんやでん）|北丸 新宿南口店 （きたまる）|博多串焼き・野菜巻き工房 渋谷宮益坂のごりょんさん|居酒屋 四谷 なごみ|牛たん酒場 たん之助 COMORE四谷店|純米酒専門YATA 新宿三丁目店（ヤタ）|赤から 新宿東口店|赤から 渋谷本店|赤から 赤坂TBS通り店|餃子専門店 藤井屋,Nihonbashi 1-1-1|おでんやden（おでんやでん）|北丸 新宿南口店 （きたまる）|博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん|居酒屋 四谷 なごみ|牛たん酒場 たん之助 COMORE四谷店|純米酒専門YATA 新宿三丁目店（ヤタ）|赤から 新宿東口店|赤から 渋谷本店|赤から 赤坂TBS通り店|餃子専門店 藤井屋,0.9090909090909091,おでんやden（おでんやでん）,おでんやden（おでんやでん）,0.9090909090909091
9,ND,5,A|B|C|D,A|B|C|D,1.0,おでんやden（おでんやでん）|北丸 新宿南口店 （きたまる）|博多串焼き・野菜巻き工房 渋谷宮益坂のごりょんさん|居酒屋 四谷 なごみ|牛たん酒場 たん之助 COMORE四谷店|純米酒専門YATA 新宿三丁目店（ヤタ）|赤から 新宿東口店|赤から 渋谷本店|赤から 赤坂TBS通り店|餃子専門店 藤井屋,Nihonbashi 1-1-1|おでんやden（おでんやでん）|北丸 新宿南口店 （きたまる）|博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん|居酒屋 四谷 なごみ|牛たん酒場 たん之助 COMORE四谷店|純米酒専門YATA 新宿三丁目店（ヤタ）|赤から 新宿東口店|赤から 渋谷本店|赤から 赤坂TBS通り店|餃子専門店 藤井屋,0.8181818181818182,おでんやden（おでんやでん）,おでんやden（おでんやでん）,0.8181818181818182
9,CoT,1,A|B|C|D,A|B|C|D,1.0,Nihonbashi 1-1-1|おでんやden（おでんやでん）|北丸 新宿南口店 （きたまる）|博多串焼き・野菜巻き工房 渋谷宮益坂のごりょんさん|居酒屋 四谷 なごみ|牛たん酒場 たん之助 COMORE四谷店|純米酒専門YATA 新宿三丁目店（ヤタ）|赤から 新宿東口店|赤から 渋谷本店|赤から 赤坂TBS通り店|餃子専門店 藤井屋,Nihonbashi 1-1-1|おでんやden（おでんやでん）|北丸 新宿南口店 （きたまる）|博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん|居酒屋 四谷 なごみ|牛たん酒場 たん之助 COMORE四谷店|純米酒専門YATA 新宿三丁目店（ヤタ）|赤から 新宿東口店|赤から 渋谷本店|赤から 赤坂TBS通り店|餃子専門店 藤井屋,0.9090909090909091,おでんやden（おでんやでん）,おでんやden（おでんやでん）,0.9090909090909091
9,CoT,2,A|B|C|D,A|B|C|D,1.0,おでんやden（おでんやでん）|北丸 新宿南口店 （きたまる）|博多串焼き・野菜巻き工房 渋谷宮益坂のごりょんさん|居酒屋 四谷 なごみ|牛たん酒場 たん之助 COMORE四谷店|純米酒専門YATA 新宿三丁目店（ヤタ）|赤から 新宿東口店|赤から 渋谷本店|赤から 赤坂TBS通り店|餃子専門店 藤井屋,Nihonbashi 1-1-1|おでんやden（おでんやでん）|北丸 新宿南口店 （きたまる）|博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん|居酒屋 四谷 なごみ|牛たん酒場 たん之助 COMORE四谷店|純米酒専門YATA 新宿三丁目店（ヤタ）|赤から 新宿東口店|赤から 渋谷本店|赤から 赤坂TBS通り店|餃子専門店 藤井屋,0.8181818181818182,おでんやden（おでんやでん）,おでんやden（おでんやでん）,0.8181818181818182
9,CoT,3,A|B|C|D,A|B|C|D,1.0,おでんやden（おでんやでん）|北丸 新宿南口店 （きたまる）|博多串焼き・野菜巻き工房 渋谷宮益坂のごりょんさん|居酒屋 四谷 なごみ|牛たん酒場 たん之助 COMORE四谷店|純米酒専門YATA 新宿三丁目店（ヤタ）|赤から 新宿東口店|赤から 渋谷本店|赤から 赤坂TBS通り店|餃子専門店 藤井屋,Nihonbashi 1-1-1|おでんやden（おでんやでん）|北丸 新宿南口店 （きたまる）|博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん|居酒屋 四谷 なごみ|牛たん酒場 たん之助 COMORE四谷店|純米酒専門YATA 新宿三丁目店（ヤタ）|赤から 新宿東口店|赤から 渋谷本店|赤から 赤坂TBS通り店|餃子専門店 藤井屋,0.8181818181818182,おでんやden（おでんやでん）,おでんやden（おでんやでん）,0.8181818181818182
9,CoT,4,A|B|C|D,A|B|C|D,1.0,おでんやden（おでんやでん）|北丸 新宿南口店 （きたまる）|博多串焼き・野菜巻き工房 渋谷宮益坂のごりょんさん|居酒屋 四谷 なごみ|牛たん酒場 たん之助 COMORE四谷店|純米酒専門YATA 新宿三丁目店（ヤタ）|赤から 新宿東口店|赤から 渋谷本店|赤から 赤坂TBS通り店|餃子専門店 藤井屋,Nihonbashi 1-1-1|おでんやden（おでんやでん）|北丸 新宿南口店 （きたまる）|博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん|居酒屋 四谷 なごみ|牛たん酒場 たん之助 COMORE四谷店|純米酒専門YATA 新宿三丁目店（ヤタ）|赤から 新宿東口店|赤から 渋谷本店|赤から 赤坂TBS通り店|餃子専門店 藤井屋,0.8181818181818182,おでんやden（おでんやでん）,おでんやden（おでんやでん）,0.8181818181818182
9,CoT,5,A|B|C|D,A|B|C|D,1.0,Nihonbashi 1-1-1|おでんやden（おでんやでん）|北丸 新宿南口店 （きたまる）|博多串焼き・野菜巻き工房 渋谷宮益坂のごりょんさん|居酒屋 四谷 なごみ|牛たん酒場 たん之助 COMORE四谷店|純米酒専門YATA 新宿三丁目店（ヤタ）|赤から 新宿東口店|赤から 渋谷本店|赤から 赤坂TBS通り店|餃子専門店 藤井屋,Nihonbashi 1-1-1|おでんやden（おでんやでん）|北丸 新宿南口店 （きたまる）|博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん|居酒屋 四谷 なごみ|牛たん酒場 たん之助 COMORE四谷店|純米酒専門YATA 新宿三丁目店（ヤタ）|赤から 新宿東口店|赤から 渋谷本店|赤から 赤坂TBS通り店|餃子専門店 藤井屋,0.9090909090909091,おでんやden（おでんやでん）,おでんやden（おでんやでん）,0.9090909090909091
